2019-04-19 15:11:21,209 - WARNING - /usr/local/lib/python3.6/dist-packages/celery/fixups/django.py:265: UserWarning: Using settings.DEBUG leads to a memory leak, never use this setting in production environments!
  warnings.warn('Using settings.DEBUG leads to a memory leak, never '
2019-04-19 15:25:58,341 - INFO - Scheduler: Sending due task add_1 (index.tasks.add)
2019-04-19 15:25:58,349 - WARNING - 1 + 2 = 3
2019-04-19 15:26:58,344 - INFO - Scheduler: Sending due task add_1 (index.tasks.add)
2019-04-19 15:26:58,351 - WARNING - 1 + 2 = 3
2019-04-19 15:27:13,338 - INFO - Writing entries (1)...
2019-04-19 15:27:58,346 - INFO - Scheduler: Sending due task add_1 (index.tasks.add)
2019-04-19 15:27:58,353 - WARNING - 1 + 2 = 3
2019-04-19 15:28:58,348 - INFO - Scheduler: Sending due task add_1 (index.tasks.add)
2019-04-19 15:28:58,354 - WARNING - 1 + 2 = 3
2019-04-19 15:29:58,349 - INFO - Scheduler: Sending due task add_1 (index.tasks.add)
2019-04-19 15:29:58,356 - WARNING - 1 + 2 = 3
2019-04-19 15:30:18,340 - INFO - Writing entries (1)...
2019-04-19 15:30:58,351 - INFO - Scheduler: Sending due task add_1 (index.tasks.add)
2019-04-19 15:30:58,358 - WARNING - 1 + 2 = 3
2019-04-19 15:31:58,353 - INFO - Scheduler: Sending due task add_1 (index.tasks.add)
2019-04-19 15:31:58,362 - WARNING - 1 + 2 = 3
2019-04-19 15:32:58,355 - INFO - Scheduler: Sending due task add_1 (index.tasks.add)
2019-04-19 15:32:58,362 - WARNING - 1 + 2 = 3
2019-04-19 15:33:23,337 - INFO - Writing entries (1)...
2019-04-19 15:33:58,357 - INFO - Scheduler: Sending due task add_1 (index.tasks.add)
2019-04-19 15:33:58,364 - WARNING - 1 + 2 = 3
2019-04-19 15:34:58,362 - INFO - Scheduler: Sending due task add_1 (index.tasks.add)
2019-04-19 15:34:58,369 - WARNING - 1 + 2 = 3
2019-04-19 15:35:58,364 - INFO - Scheduler: Sending due task add_1 (index.tasks.add)
2019-04-19 15:35:58,371 - WARNING - 1 + 2 = 3
2019-04-19 15:36:28,345 - INFO - Writing entries (1)...
2019-04-19 15:36:58,365 - INFO - Scheduler: Sending due task add_1 (index.tasks.add)
2019-04-19 15:36:58,372 - WARNING - 1 + 2 = 3
2019-04-19 15:37:58,367 - INFO - Scheduler: Sending due task add_1 (index.tasks.add)
2019-04-19 15:37:58,375 - WARNING - 1 + 2 = 3
2019-04-19 15:38:58,370 - INFO - Scheduler: Sending due task add_1 (index.tasks.add)
2019-04-19 15:38:58,377 - WARNING - 1 + 2 = 3
2019-04-19 15:39:33,353 - INFO - Writing entries (1)...
2019-04-19 15:39:58,371 - INFO - Scheduler: Sending due task add_1 (index.tasks.add)
2019-04-19 15:39:58,379 - WARNING - 1 + 2 = 3
